group,pair,beta,pvalue,cointegrated_naive_0.05,cointegrated_bonferroni,level_corr,returns_corr
energy,XLE-XOP,0.308,0.5689,False,False,0.88,0.915
energy,XLE-USO,0.217,0.9475,False,False,0.467,0.602
energy,XOP-USO,0.922,0.6426,False,False,0.694,0.616
financials,XLF-KBE,0.948,0.3669,False,False,0.92,0.89
financials,XLF-KRE,0.761,0.7431,False,False,0.76,0.858
financials,KBE-KRE,0.912,0.9529,False,False,0.939,0.993
gold,GLD-GDX,4.175,0.6514,False,False,0.97,0.774
gold,GLD-GDXJ,3.122,0.7186,False,False,0.948,0.759
gold,GDX-GDXJ,0.761,0.4288,False,False,0.994,0.97
semis,SMH-SOXX,1.149,0.4912,False,False,0.992,0.989
broad_market,SPY-IVV,0.993,0.3619,False,False,1.0,0.999
broad_market,SPY-VOO,1.085,0.1174,False,False,1.0,0.999
broad_market,IVV-VOO,1.093,0.0,True,True,1.0,0.999
