group,pair,static_pvalue,pct_cointegrated,z_vs_null,null_p95,beta_cv_pct,longest_breakdown_windows,n_windows
broad_market,IVV-VOO,0.0,88.1,24.374339451283706,9.7,0.07,11,202
broad_market,SPY-VOO,0.118,85.1,23.507952977896846,9.7,0.19,6,202
broad_market,SPY-IVV,0.3607,72.3,19.753611593220445,9.7,0.18,10,202
tech_megacap,QQQ-VGT,0.9896,26.2,6.3246212557240895,9.7,11.71,32,202
country_etfs,EWJ-EWU,0.6034,21.8,5.025041545643798,9.7,55.58,56,202
homebuilders,PHM-NVR,0.8469,21.3,4.880643800079319,9.7,42.58,44,202
country_etfs,EWJ-EWC,0.5103,18.3,4.014257326692459,9.7,52.83,56,202
country_etfs,EWJ-EWG,0.4112,17.3,3.7254618355635043,9.7,38.55,70,202
financials,KBE-KRE,0.9532,16.8,3.581064089999028,9.7,13.57,33,202
airlines,UAL-AAL,0.8532,16.8,3.581064089999028,9.7,76.39,71,202
tech_megacap,QQQ-XLK,0.9486,15.3,3.147870853305597,9.7,14.42,27,202
reits,VNQ-IYR,0.0032,15.3,3.147870853305597,9.7,2.81,45,202
airlines,AAL-LUV,0.1955,15.3,3.147870853305597,9.7,46.58,59,202
staples,XLP-KO,0.9642,14.9,3.0034731077411196,9.7,32.67,37,202
airlines,UAL-LUV,0.875,13.9,2.7146776166121667,9.7,101.78,41,202
gold,GLD-GDXJ,0.722,10.9,1.8482911432253049,9.7,45.19,59,202
airlines,DAL-LUV,0.9019,10.4,1.703893397660828,9.7,61.32,58,202
country_etfs,EWG-EWC,0.3879,9.9,1.5594956520963508,9.7,57.72,53,202
reits,IYR-SCHH,0.7619,9.4,1.4150979065318738,9.7,12.76,77,202
airlines,DAL-UAL,0.483,9.4,1.4150979065318738,9.7,32.18,80,202
homebuilders,DHI-PHM,0.4056,9.4,1.4150979065318738,9.7,24.34,104,202
country_etfs,EWU-EWC,0.3595,8.9,1.2707001609673967,9.7,29.37,48,202
auto,GM-TM,0.8533,8.9,1.2707001609673967,9.7,105.06,138,202
bonds,SHY-AGG,0.9854,7.9,0.9819046698384432,9.7,52.03,107,202
auto,F-TM,0.1559,7.9,0.9819046698384432,9.7,77.87,61,202
bonds,IEF-SHY,0.8787,7.9,0.9819046698384432,9.7,93.23,70,202
oil_majors,XOM-BP,0.3112,7.9,0.9819046698384432,9.7,53.41,53,202
energy,XLE-USO,0.9495,7.9,0.9819046698384432,9.7,59.52,64,202
retailers,WMT-TGT,0.989,7.9,0.9819046698384432,9.7,417.98,70,202
staples,XLP-PEP,0.9795,7.4,0.8375069242739661,9.7,57.93,170,202
homebuilders,LEN-NVR,0.3473,7.4,0.8375069242739661,9.7,26.52,58,202
oil_majors,CVX-BP,0.53,6.9,0.6931091787094896,9.7,64.35,76,202
reits,VNQ-SCHH,0.7306,6.9,0.6931091787094896,9.7,12.82,80,202
energy,XOP-USO,0.6423,6.4,0.5487114331450126,9.7,38.23,58,202
oil_majors,CVX-SHEL,0.4459,6.4,0.5487114331450126,9.7,72.14,93,202
banks,JPM-BAC,0.4009,6.4,0.5487114331450126,9.7,49.01,140,202
retailers,WMT-COST,0.7193,5.9,0.4043136875805355,9.7,65.51,106,202
gold,GDX-GDXJ,0.4288,5.9,0.4043136875805355,9.7,13.34,140,202
semis,SMH-SOXX,0.5183,5.9,0.4043136875805355,9.7,16.24,78,202
silver_gold,GLD-GDX,0.6625,5.4,0.25991594201605867,9.7,36.12,90,202
